file,test_sequences,ground_truth
0460ShaykhTusi.Tibyan.Tafsir04039-ara1, قال الشاعر ما فى انحداب سيره من أمت يقول الله تعالى إن اليوم الذي ينسف الله, قال الشاعر
0633IbnDihyaJumayyilKalbi.AyatBayyinat.ShamAY0033556-ara1, وذكر ابن إسحاق في السيرة له وإن كان لا يحتج به لتجريح مالك إمام دار, وذكر ابن إسحاق في السيرة
1369MuhammadRida.Muhammad.Shamela0012935-ara1, قال مما هو مذكور في هذا الكتاب نقلا عن سيرة ابن هشام كانت العرب تسمع من أهل الكتاب ومن الكهان, قال مما هو مذكور في هذا الكتاب نقلا عن سيرة ابن هشام
1392TahaHusayn.MaratIslam.Hindawi017506357-ara1, قال أصحاب السيرة وأصبح الرصد فعلموا أن النبي قد خرج وأنه قد فاتهم, قال أصحاب السيرة
1389AghaBuzurgTihrani.DharicaIlaTasanifShica.Shia003366Vols-ara1.completed, قال ابن النديم عند عد كتبه و كتاب المتوج في العدل وحسن السيرة أكثر من مائة ورقة المتوسط هو الشرح الوسيط للكافية الموسوم, قال ابن النديم
1373AhmadAmin.DuhaIslam.Hindawi030536269-ara1, يذكر في سيرة معاوية أنه كان يخصص جزءا من ليله في سماع أخبار, يذكر في سيرة معاوية
1304CabdHayyLaknawi.AtharMarfuca.Shamela0006053-ara1, وقال النسائي ليس بثقة وقال الساجي كان يشتري كتب السيرة فيرويها ما سمعها من أبيه ولا بعضها انتهى ومنها ما, وقال النسائي
0748Dhahabi.TarikhIslam.Shamela0035100-ara1.mARkdown, وقال البخاري عنده مناكير حرف الهاء _ ن هارون بن أبي عيسى الوفاة ه روى السيرة النبوية عن ابن إسحاق قال البخاري يخطئ عن غير ابن, وقال البخاري
0654SibtIbnJawzi.MiratZaman.Sham19Y0023644-ara1, ¬ ذكر أخبار متفرقة من سيرة الحسن قال الشعبي كان الحسن كاتبا للربيع بن زياد وقال, ¬ ذكر أخبار متفرقة من سيرة الحسن
0775IbnAbiWafa.JawahirMudiya.JK000806BK1-ara1.completed, قال أبو سعد كان فقيها مناظرا أديبا بارعا عفيف النفس حسن السيرة انتهى وقال غيره وبرع فى الخلاف بمرو وكان عالما بالفقه, قال أبو سعد
