file,search_result
0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1, قال شهدت أبا ذر بالربذة حين سيره عثمان وأوصى إلى علي عليه السلام في أهله وماله فقال
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2, وقال جعفر الصادق يكون محمود السيرة قوي الأمانة سورة النور قال ابن سيرين من قرأها فإنها
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2, وقال جعفر الصادق يحصل له سيرة الصلحاء وسلوك طريق الدين سورة فاطر قال ابن سيرين من
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2, وقال الكرماني إنه يختار السيرة الحسنة وسلوك طريق الدين وقيل يحفظ القرآن ويتفقه في الدين
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2, وقال الكرماني إنه يراعي في سيره الحق ويكون حريصا في ذلك وقيل شك بين صاحب الرؤيا
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2, وقال الكرماني إنه يطلب حسن السيرة وسلوك الطريق الحق وقيل يعمل عملا يحبب به نفسه للناس
0139IbnMuqaffac.KalilaWaDimna.LAL2022011101-ara2, قال الملك أخبرني أيها الوزير الصالح كيف كان سيرة ملك البوم في جنوده قال الغراب كان سيرته سيرة بطر
0157AbuMikhnafAzdi.WaqcatTaff.Masaha003027-ara1, قال أما انك لا تدع سوء القتلة وقبح المثلة وخبث السيرة ولؤم الغلبة ولا أحد من الناس أحق بها منك وأقبل
0170KhalilFarahidi.Cayn.JK000930-ara1, قال منسرحا إلا ذعاليب الخرق وتقول إذلعب الجمل في سيره إذلعبابا من النجاء والسرعة قال الراجز ناج أمام الركب مذلعب
0170KhalilFarahidi.Cayn.JK000930-ara1, يقول نياف على فيعال إذا ارتفع في سيره قال يتبعن نياف الضحى عزاهلا ويروى زياف الضحى فني الفناء
0179MalikIbnAnas.Muwatta.Shamela0028107-ara1.completed, قال الزهري وربيعة الرأي مالك ومجلسه العلمي إن المتتبع لسيرة الإمام مالك رحمه الله يجد أنه كان يحترم أحاديث رسول
0181IbnMubarak.Zuhd.JK000055-ara1, قال يبعث الله يوم القيامة عبدين من عباده كانا على سيرة واحدة أحدهما مقتور عليه والآخر موسع عليه فيقبل المقتور إلى
0182AbuYusufYacqub.Kharaj.ShamAY0034334-ara1, قال وكانوا يرون أن عليا لو كان مخالفا لسيرة عمر لردهم ثم كتب لهم علي رضي الله عنه بسم
0182AbuYusufYacqub.Kharaj.ShamAY0034334-ara1, قال حاجتي أن تسأل عن أهل العراق وكيف سيرة الولاة فيهم ورضاهم عنهم فلما قدمت العراق سألت الرعية عنهم
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1.mARkdown, قال هذا كتاب حذف من النسب ولو كتبت كتاب استئصال لشغلتني سيرة النبي صلى الله عليه وسيرة بني العباس دهرا ولد عبد
0200AbuGhanimKhurasani.MudawwanaKubra.Kraken2108092202141-ara1, وذكر الله باللعب واللهو والسكينة بالصياح فإن ذلك من سيرة الأعاجم فيت لاجبلة قال المرئب يجوز الركوب للعاجز وكان يخرج
0203YahyaIbnAdam.Kharaj.JK000258-ara1, قال حدثنا يحيى قال حدثنا شريك عن زبيد كان على يشبه بعمر يعني في السيرة قال يحيى قال حسن بن صالح في المسلم يشتري ارض
0204Shafici.TafsirShafici.Shamela0009182-ara1, قال الشافعي رحمه الله فإذا دعي أهل البغي فامتنعوا من الإجابة فقوتلوا فالسيرة فيهم مخالفة للسيرة في أهل الشرك وذلك بأن الله عز وجل حرم ثم
0206AbuCamrShaybani.Jim.JK010107-ara1, وقال نكب العشار لأذقانها فنشري الجفان ونقري النزيلا وقال شرى الجمل في سيره إذا كان سريع المشي يشري شرى وقال الطائي أخذ شوره
0206AbuCamrShaybani.Jim.JK010107-ara1, قال مضرس فلما أن تلوحنا شواء به اللهبان مقهورا ضبيحا واللهب المنطلق في سيره قال المرار سل الهموم إذا اعترتك بدوسر لهب الهواجر واسع
0206AbuCamrShaybani.Jim.JK010107-ara1, وقال هود في سيره أي أبطأ وهود في غنائه إذا أبطأ فيه واسترخى وقال
0207Waqidi.FutuhSham.Shamela0012045-ara1.completed, قال بلغنا غير هذا وذلك أن هاشم بن عتبة تبع المنهزمين من جنود الملك فانتهى سيره إلى مرج حلوان فالتقى بكتيبة من أهل فارس بالعدد والسلاح
0209AbuCubayda.MajazQuran.JK010146-ara1, وقال يزيد بن ضبة منعمة بيضاء ليس بها أمت وقال الراجز ما في انجذاب سيره من أمت فلا تسمع إلا همسا أي صوتا خفيا وهو
0209AbuCubayda.SharhNaqaidJarir.Sham19Y0013609-ara1, قال والملاطان الجنبان والموار الذي يكثر الحركة يريد بعيرا كثير السير يمور في سيره لا يقر ولا يسكن قال والأرواح الواسع ما بين القوائم
0209AbuCubayda.SharhNaqaidJarir.Sham19Y0013609-ara1, وقال الفرزدق في ذلك عجبت لحادينا المقحم سيره بنا مزحفات من كلال وظلعا قوله المقحم سيره هو السائر أشد السير يحملها على كل حزن وسهل قال
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1.completed, قال أبو محمد عبد الملك بن هشام النحوي هذا كتاب سيرة رسول الله صلى الله عليه وآله وسلم قال محمد بن
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1.completed, ذكر غيرهم من ولد إسماعيل على هذه الجهة للاختصار إلى حديث سيرة رسول الله صلى الله عليه وسلم وتارك بعض ما ذكره
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1.completed, قال ابن هشام يشجب ابن يعرب بن قحطان شيء من سيرة تبان قال ابن إسحاق وتبان أسعد أبو كرب الذي قدم
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1.completed, قال فكيف رأيتم سيرتي فيكم قالوا خير سيرة قال فما بالكم قالوا فارقت ديننا وزعمت أن عيسى عبد
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1.completed, قال ابن هشام عجز البيت الأول عن غير ابن إسحاق انتهى الجزء الرابع من سيرة سيدنا محمد رسول الله صلى الله عليه وسلم وبه تم
0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz.Shamela0006656-ara1.mARkdown, يقول من هذا الذي من ولد عمر يسمى عمر يسير بسيرة عمر يرددها مرات خلاصة سيرة عمر بن عبد العزيز قبل الخلافة وولد عمر بن عبد
0214IbnCabdHakamMisri.SiratCumarIbnCabdCaziz.Shamela0006656-ara1.mARkdown, قال ثم ولي عمر على المدينة فسار بأحسن سيرة وكان مع ذلك يعصف ريحه ويرخي شعره ويسبل إزاره ويتبختر
0215AbuZaydAnsari.NawadirFiLugha.Sham19Y0133417-ara1, وقال أيضا يا حمزكم من ذي كياد وحيلة له شرط مقصورة ومناكب وعيس تنقاها سمان لسيره فهن مراسيل الفلاة النجائب المنكب فوق العريف وكان مرة للأمراء
0215AbuZaydAnsari.NawadirFiLugha.Sham19Y0133417-ara1, قال أبو الحسن روى أبو العباس يسيرها والعيس الإبل البيض الألوان إلى الشقرة و السيرة المتيسرة السهلة المعدة وقال رجل من كلب يقال له ربعة
0216IbnQuraybAsmaci.Ibl.Shamela0009208-ara1, قال بعض الرجاز وقد رفعنا سيرة اللجون عوم العدولي من السفين والعواشي الإبل التي تأكل بالليل
0219IbnZubayrHumaydi.Musnad.JK000473-ara1, قال ثنا سفيان قال ثنا عبد العزيز بن عمر بن عبد العزيز عن الربيع بن سيرة الجهني عن أبيه قال كان رسول الله صلى الله عليه
0220AbuJacfarIskafi.NaqdCuthmaniyya.Shia003459BK2-ara1.mARkdown, يذكر في سيرة ولا روى في أثر ولا سمع به بشر ولا سبق
0220AbuJacfarIskafi.NaqdCuthmaniyya.Shia003459BK2-ara1.mARkdown, ذكر لهؤلاء على أن أرباب السيرة يقولون إن الشجة التي شجها سعد وأن السيف الذي سله
0220AbuJacfarIskafi.NaqdCuthmaniyya.Shia003459BK2-ara1.mARkdown, قال إذ يقول لصاحبه وإنما علمنا أنه أبو بكر بالخبر وما ورد في السيرة وقد قال أهل التفسير إن قوله تعالى ويمكر الله والله
0224QasimIbnSallam.GharibHadith.JK000718-ara1, قال الفراء يقال خرج فلان ينتقث إذا أسرع في سيره وقولها خرج أبو زرع والأوطاب تمخض فالأوطاب أسقية اللبن واحدها
0224QasimIbnSallam.GharibHadith.JK000718-ara1, قال العجاج يصف ثورا مضى في سيره الرجز فظل يرقد من النشاط كالبربري لج في انخراط شبهه
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, ذكر اسم ولد آخر لهاشم هو الشفاه وذلك ما جاه عند ابن هشام لي السيرة النبوية طبعة مؤسة علوم القران بيروت / والمصب الزبيري أيضأ في
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, ذكر الثريا في السيرة / والشاهر عمربن أبي ربيعة انظر صيرته وأخباره في الشعر والشعراء
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, ذكر المتهزلين بالرسول ك راجع المحبر ص وفي السيرة اختلاف في اسمه اتظر / راجع ايضا الكامل / مورة الجائية الأية
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, ذكر أنه قتل يوم حنين عن يوم حين راجع التخاصيل في السيرة / والكامل / انظر اخباره في السيرة / وترجته لى الإصابة / الاستيعاب / ترجته
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, يذكر في السيرة / بين من شهد بدرا من الأنصار قال ابن الكلي / هو
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, / وذكر في السيرة / وهو شاعر له ترجمة في الاغاني / وذكر في الأصمعيات ص
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, ذكر من شهد بدر من بني دينار بن التجار في السيرة / وجاء فيها أسماء هؤلاء الصحابة التي اوردت أسماؤهم في النص
0224QasimIbnSallam.Nasab.Kraken220810012742-ara1, ذكر في السيرة / أن خولى بن ابي خولى ومالك بن ابي خولى هما
0228IbnHammadKhuzaci.Fitan.JK000025-ara1, قال بعد المهدي رجل من قحطان مثقوب الأذنين على سيرة المهدي حياته عشرون سنة ثم يموت قتلا بالسلاح ثم يخرج
0230IbnSacd.TabaqatKubra.ShamAY0035884-ara1.mARkdown, قال محمد بن سعد قال محمد بن عمر وأصحابنا من أهل المدينة ومن روى السيرة يقولون اسم الموضع بدر سرية عمير بن عدي ثم سرية
0230IbnSacd.TabaqatKubra.ShamAY0035884-ara1.mARkdown, قال محمد بن سعد وذلك عندنا منه وهل لأن أصحاب السيرة ومن يعلم المغازي يثبتون السائب بن عثمان بن مظعون فيمن
0230IbnSacd.TabaqatKubra.ShamAY0035884-ara1.mARkdown, قال محمد بن عمر عمن روي عنه السيرة من أهل العلم إنهما لم يشهدا بدرا قال وفي رواية
0231AbuNasrBahili.SharhDiwanDhiRumma.Sham19Y0016545-ara1, وقال أبو عمرو هو الذي ب/ يمطل في سيره على طوله والهملع السريع الناجي قلائص ما يصبحن إلا روافعا
0231AbuNasrBahili.SharhDiwanDhiRumma.Sham19Y0016545-ara1, يقول فإذا جدت هيجت ما فتر من الإبل فسار بسيرتها كما قال حميد وقد رفعن سيرة اللجون وصررت مسدت قطريها رافعة وأبوض النسا قابضته ولو انحل
0233IbnCaidhDimashqi.Sawaif.ShamAY0037161-ara1, يقول أيها الناس أنا ثابت البهراني رسول الأمير سليمان بن هشام يخبر سرعة سيره إليكم وهو آتيكم أحد اليومين فسر ذلك المسلمين وأصبح ليون
0235IbnAbiShayba.Musannaf.JK000786-ara1.completed, ويقول مثل ذلك فلم يزل يفعل ذلك حتى أفاض قال فكان سيره إذا رأى سعة العنق وإذا رأى مضيقا أمسك وإذا أتى
0235IbnAbiShayba.Musannaf.JK000786-ara1.completed, قال فخاصموه فخاصموا فقال كذلك السيرة في أهل القبلة قال فهاتوا سهامكم واقرعوا على عائشة فهي
0235IbnAbiShayba.Musnad.JK007049-ara1, قال كان سيره العنق فإذا وجد فجوة نص نا أبو خالد الأحمر عن
0235IbnAbiShayba.Musnad.JK007049-ara1, قال كان سيره العنق فإذا وجد فجوة نص والنص قال هشام فوق العنق
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1, يقول الفرزدق نعم لقد سار ابن شيبة سيرة أرتك نجوم الليل واضحة تجري فأصبح قد صبت على رأس
0240IbnKhayyatCusfuri.Tarikh.JK000412-ara1.completed, قال حدثني أبي عن قتادة عن الجارود بن أبي سيرة قال نظر مروان بن الحكم إلى طلحة بن عبيد الله
0240IbnKhayyatCusfuri.Tarikh.JK000412-ara1.completed, قال ما أرى ذلك وما أرى أن أخالف سيرة من مضى قبلي ومضى أبو حمزة إلى المدينة فدخلها يوم
0240SahnunIbnSacid.MudawwanaKubra.JK000227-ara1, وقال مالك هو الشأن ألا ترى أن الصوائف والجيوش ليس سيرتهم سيرة السرايا إنما سيرتهم على الإظهار وعلى غير الاختفاء وانهم في
0241IbnHanbal.Musnad.Shamela0025794-ara1.mARkdown, ويقول السكينة السكينة أيها الناس حتى جاء محسرا فقرع راحلته فخبت حتى خرج ثم عاد لسيره الأول حتى رمى الجمرة ثم جاء المنحر فقال هذا المنحر
0241IbnHanbal.Musnad.Shamela0025794-ara1.mARkdown, قال كان سيره العنق فإذا وجد فجوة نص والنص فوق العنق وأنا رديفه
0243HarithMuhasibi.AdabNufus.JK000850-ara1, وقال لو كان لك عبيد اردت عتق بعضهم اليس كنت تبدأ بأعدلهم سيرة وانصحهم لك واخدمهم وقال انك ان لم تترك ما يكرهه
0244IbnSikkit.Alfaz.Sham19Y0013249-ara1, وقال الفراء الصيرم والصيلم مثل الوجبة وقال الأصمعي قيل لرجل أسرع في سيره كيف وصلت في سيرك قال كنت آكل الوجبة وأنجو الوقعة
0244IbnSikkit.IslahMantiq.Shamela0007508-ara1.completed, قال الفراء أخبرني معاذ الهراء قال لقد قيل سيرة العمرين قبل أن يولد عمر بن عبد العزيز قال أبو
0244IbnSikkit.KanzLughawi.JK010885-ara1, قال بعض الرجاز وقد رفعنا سيرة اللجون عوم العدولي من السفين والعواشي الإبل التي تأكل بالليل
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1.completed, وقال عبد الملك على المنبر ألا تنصفوننا يا معشر الرعية تريدون منا سيرة أبي بكرة وعمر ولم تسيروا في أنفسكم ولا فينا بسيرة
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1.completed, قال بالمرصاد وكان الأعرابي عامر بن عبد قيس وكان ابن عامر سيره إليه قال وغدا أعرابي من طيىء مع امرأة له فاحتلبا
0255Jahiz.Rasail.Hindawi047090584-ara1, يذكر في سيرة ولا روي في أثر ولا سمع به بشر ولا سبق
0255Jahiz.TajFiAkhlaq.Shamela0022623-ara1.mARkdown, يذكر عن سيرة أنوشروان أن رجلا من خاص خدمه جنى جناية اطلع عليها
0256ZubayrIbnBakkar.AkhbarMuwaffaqiyyat.Shamela0028453-ara1.completed, قال استعمل يزيد بن معاوية عمرو بن سعيد بن العاص على المدينة فأساء السيرة فيهم فشكوه إلى يزيد بن معاوية فعزله واستعمل عثمان بن
0260ImamCaskari.Tafsir.Shia002334-ara1, قال اركبه فركبه فقال سيره فسيره وما زال يسيره ويعديه حتى أتعبه وكده فنادى الفرس
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1.completed, قال حدثنا سفيان بن عيينة قال كان عمر رضي الله عنه يدفع الشئ ليشتهيه سنة سيرة عمر رضي الله عنه في عماله حدثنا عفان قال حدثنا
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1.completed, ذكر له أن عثمان رضي الله عنه سيره أخذه أمر عظيم ويقول وهو خرج من قبل نفسه ولم
0274AhmadBarqi.Mahasin.Shia001115Vols-ara1, قال سمعت أبا عبد الله ع يقول لسيرة علي بن أبي طالب ع في أهل البصرة كانت خيرا
0275AbuDawudSijistani.Sunan.JK000142-ara1, وقال هو في كتاب بن سيرة وقالوا سمرة وقالوا سميرة هذا كلام أبي الوليد حدثنا مسدد
0275LawwabIbnSallam.BidIslam.ShamIbadiyya0000099-ara1, ذكر البرادي تقييد ص سيرة الإمام عبد الله بن يحيى وما معها من خطب أبي
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1.completed, قال عبد الملك بن مروان أنصفونا يا معشر الرعية تريدون منا سيرة أبي بكر وعمر ولا تسيرون فينا ولا في أنفسكم بسيرة
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1.completed, قال قيل لرجل أسرع في سيره كيف كان مسيرك قال كنت آكل الوجبة وأعرس إذا أسحرت
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1.completed, يقول من كان جاره نبطيا واحتاج إلى ثمنه فليبعه فإن كنت تطلب سيرة عمر فهذا حكمه فيكم وأمر له بألف درهم باب ذم
0276IbnQutaybaDinawari.GharibHadith.Shamela0007012-ara1.mARkdown, يذكر سهاما من المنسرح ترص أفواقها وقومها أنبل عدوان كلها صنعا أنبل أحذق جاء في السيرة في قصة نوح وانسدت ينابيع الغوط الأكبر وأبواب السماء الغوط
0276IbnQutaybaDinawari.ImamaWaSiyasa.JK001030-ara1.completed, قال فتتولونهما على خلاف سيرتهما قالا نعم فقال عمر فهؤلاء الذين اختلفوا بينهم في السيرة والأحكام لم يتبرأ بعضهم من بعض ولا لعن بعضهم بعضا
0276IbnQutaybaDinawari.ImamaWaSiyasa.JK001030-ara1.completed, قال وذكروا أن الوليد بن يزيد لما تولى الأمر بعد هشام أساء السيرة وانتحى على أهله وجماعة قريش وأحدث الأحداث العظيمة وسفك الدماء
0276IbnQutaybaDinawari.MacaniKabir.Shamela0025837-ara1.mARkdown, وقال غير الأصمعي الجذمة السرعة والذهاب ومنه قيل أجذم فلان في سيره وأنشد للربيع بن زياد حرق قيس علي البلا د حتى
0276IbnQutaybaDinawari.Macarif.Shamela0012129-ara1.mARkdown, قال كنت منيح أصحابى يوم بدر وهذا خطا لأن أهل السيرة مجمعون على أنه لم يشهد بدرا ومات بالمدينة سنة ثمان
0276IbnQutaybaDinawari.MasailWaAjwiba.Sham19Y0151010-ara1, ذكر في السيرة في مناجاة أيوب صلى الله عليه وسلم أنه قيل له
0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1.completed, قال الهذلي لا يزال بالمدينة علم ما بقي هذا الرجل يعني ابن إسحاق وهو صاحب السيرة حدثنا ابن أبي عمر قال قال سفيان كان يرون الزهري
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال قال علي سرت في أهل البصرة سيرة رسول الله صلى الله عليه وسلم في أهل مكة وقال
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, يقول أن علي بن الحسين ليرتفع من حيث تتضع الناس قالوا وأقام محمد بالمدينة حسن السيرة وبلغه خروج إبراهيم أخيه بالبصرة فكان يقول لأصحابه ادعوا الله
